epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,986.714,0.82001,0.58372,1.26092,0.06303,0.92556,0.89474,0.9412,0.76244,1.07888,0.64496,1.43147,0.06405,0.0005744,0.0005744,0.0005744
38,1016.9,0.91312,0.62057,1.32154,0.08898,0.94206,0.85632,0.94522,0.7546,1.06175,0.65748,1.39643,0.06228,0.0005348,0.0005348,0.0005348
39,1043.71,0.80236,0.60521,1.2285,0.05345,0.98824,0.84211,0.9411,0.74855,1.08222,0.66718,1.39379,0.06546,0.0004952,0.0004952,0.0004952
40,1070.62,0.77916,0.61164,1.16193,0.06223,1,0.88658,0.94609,0.75698,0.97407,0.67504,1.31382,0.04267,0.0004556,0.0004556,0.0004556
41,1096.69,0.64709,0.5473,1.13591,0.0291,0.99563,0.89474,0.94223,0.73158,0.96179,0.66376,1.31691,0.04309,0.000416,0.000416,0.000416
42,1121.23,0.60258,0.51647,1.13406,0.02769,0.99522,0.89474,0.94155,0.74114,0.94961,0.66759,1.30151,0.04316,0.0003764,0.0003764,0.0003764
43,1145.58,0.61827,0.50702,1.15076,0.02807,0.99756,0.89474,0.92461,0.74677,0.96062,0.67002,1.3057,0.04351,0.0003368,0.0003368,0.0003368
44,1170.92,0.61481,0.52242,1.19682,0.0264,1,0.89372,0.92461,0.75532,1.00426,0.68025,1.33659,0.04326,0.0002972,0.0002972,0.0002972
45,1195.43,0.60802,0.48155,1.12833,0.0339,1,0.89296,0.92365,0.75695,1.05038,0.69309,1.37802,0.04801,0.0002576,0.0002576,0.0002576
46,1219.05,0.55537,0.46293,1.10986,0.01573,1,0.88239,0.92276,0.77003,1.08947,0.69203,1.41779,0.0541,0.000218,0.000218,0.000218
47,1244.95,0.56231,0.47352,1.10719,0.02332,1,0.88343,0.92365,0.77626,1.06599,0.67667,1.40593,0.05237,0.0001784,0.0001784,0.0001784
48,1270.81,0.54364,0.45647,1.03619,0.02912,1,0.89062,0.92461,0.78352,1.02811,0.63653,1.40438,0.05066,0.0001388,0.0001388,0.0001388
49,1295.29,0.52627,0.45313,1.08562,0.01923,1,0.8887,0.92276,0.77801,1.00837,0.62494,1.39463,0.04965,9.92e-05,9.92e-05,9.92e-05
50,1320.22,0.54818,0.46454,1.14239,0.0197,1,0.88961,0.92192,0.78424,0.99578,0.62783,1.39243,0.04719,5.96e-05,5.96e-05,5.96e-05
