epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,528.401,0.69379,0.60022,1.54774,0.07958,0.98025,1,0.995,0.88754,0.63607,0.5915,1.79272,0.13089,0.000410409,0.000410409,0.000410409
38,542.494,0.71046,0.63983,1.61084,0.12337,0.98217,1,0.995,0.88145,0.62334,0.58018,1.78201,0.1383,0.000382115,0.000382115,0.000382115
39,555.712,0.67539,0.60999,1.56276,0.10165,0.9868,1,0.995,0.88718,0.60496,0.57771,1.75504,0.13253,0.00035382,0.00035382,0.00035382
40,569.556,0.72547,0.64457,1.49803,0.10537,0.98633,1,0.995,0.88339,0.59812,0.57369,1.74125,0.12781,0.000325526,0.000325526,0.000325526
41,583.524,0.63503,0.6083,1.60023,0.09794,0.98633,1,0.995,0.88339,0.59812,0.57369,1.74125,0.12781,0.000297232,0.000297232,0.000297232
42,598.713,0.59783,0.61539,1.55153,0.09053,0.98356,1,0.995,0.88624,0.59728,0.56967,1.72204,0.1264,0.000268938,0.000268938,0.000268938
43,612.406,0.63036,0.64367,1.54207,0.09206,0.98166,1,0.995,0.89234,0.59364,0.57364,1.70555,0.12642,0.000240644,0.000240644,0.000240644
44,626.947,0.61603,0.63176,1.54241,0.09228,0.98911,1,0.995,0.89187,0.59706,0.5775,1.70526,0.12688,0.000212349,0.000212349,0.000212349
45,640.102,0.62906,0.6105,1.565,0.08614,0.98911,1,0.995,0.89187,0.59706,0.5775,1.70526,0.12688,0.000184055,0.000184055,0.000184055
46,653.693,0.61104,0.60675,1.55259,0.10276,0.98959,1,0.995,0.89032,0.59682,0.5774,1.70644,0.1267,0.000155761,0.000155761,0.000155761
47,667.141,0.57557,0.58775,1.5195,0.09635,0.99039,1,0.995,0.88377,0.59422,0.57126,1.7095,0.12593,0.000127467,0.000127467,0.000127467
48,681.394,0.5896,0.60495,1.49077,0.08833,0.99143,1,0.995,0.8889,0.59241,0.56328,1.71191,0.12495,9.91726e-05,9.91726e-05,9.91726e-05
49,695.036,0.57732,0.58331,1.56112,0.07801,0.99143,1,0.995,0.8889,0.59241,0.56328,1.71191,0.12495,7.08784e-05,7.08784e-05,7.08784e-05
50,708.925,0.55115,0.56775,1.52513,0.08202,0.99184,1,0.995,0.88997,0.59109,0.56035,1.71342,0.12443,4.25842e-05,4.25842e-05,4.25842e-05
